PanStarrs_name,dr7objid,ra_panstarr,dec_panstarr,ra_sdss,dec_sdss,spherical_cos_distance
PGC23333 ,588016879363424344,2.178427295356041,0.4327133727945721,2.1784271547661223,0.4327136447670077,0.999999999999955
NGC2487 ,587734623237111983,2.087156698386399,0.4389365187754831,2.0871563301341967,0.4389367178881472,0.9999999999999246
NGC5669 ,588017702946930712,3.807980480485177,0.17262074247094797,3.8080135898320107,0.1726427513195235,0.999999999225864
NGC5204 ,587729386620125296,3.5325835815495905,1.019599008800662,3.5305529378401275,1.019921759414249,0.9999993827357773
NGC36 ,587731187815874707,0.0496179653049468,0.1115155436281501,0.053152683356989666,0.021824173267593977,0.9959742179349017
PGC23598 ,587737826215198951,2.2014324802265786,0.9573809880267923,2.201431704718882,0.957380929118298,0.9999999999998986
NGC5406 ,587736584426094619,3.666654538700039,0.6792022087964517,3.666654518230224,0.6792023752743019,0.999999999999986
UGC2885 ,588848899934388352,1.016968448552056,0.6211965401722706,4.007879904552684,-17357.919293075716,0.9924993219173267
NGC171 ,587727177916416083,0.1630086906814396,-0.3479182964156796,0.15528507822893098,-0.195802550933207,0.9884251880021715
NGC5633 ,587732484369743913,3.7850651800711175,0.8054088868703388,3.785065800066627,0.8054095345281056,0.999999999999698
NGC5850 ,587726032269017171,3.958093107856556,0.026952072440997236,3.9580934443365403,0.026952644123277993,0.9999999999997801
NGC2276 ,587738068350927055,1.9514496695951316,1.4966994205990285,2.609535011236931,1.2264233456404714,0.9584778603146957
NGC3992 ,588013384353316919,3.1311192818144256,0.931561285204489,3.1301493565423324,0.9298928945350076,0.9999984404491853
NGC1 ,587727223561650302,0.03169517921621703,0.4835972254059904,0.024521668401920594,0.28326282072004033,0.9799782158009701
UGC1635 ,587731514222313739,0.5605226121876405,0.11161240940163578,0.5643138674182042,0.022050371105519037,0.9959848605106628
UGC3995 ,587731873383710955,2.02525824739857,0.51045068674425,2.025245828961051,0.5104641210996884,0.9999999998510568
PGC05673 ,587724232643117116,0.39899675323869527,0.2491893839534904,0.3989997826068787,0.2491893931077336,0.9999999999956904
NGC2608 ,587735240099692630,2.2483718887284896,0.49695492830320387,2.248372022651006,0.49695495818739627,0.9999999999999927
UGC3140 ,587724242846613710,1.2344502614516402,0.010796257686986523,1.099538307727001,-0.07286103294578965,0.9874405839832853
NGC4701 ,587726033864556575,3.3562386555207366,0.059144146895257044,3.3562380797144162,0.059144216659651805,0.9999999999998324
NGC6060 ,587739381534425288,4.214386854530289,0.3749834661922061,4.214387805408408,0.3749824985350912,0.9999999999991402
NGC5888 ,587732483837067338,3.9842501828232697,0.7202036581172276,3.984250253713465,0.7202036708140652,0.9999999999999984
UGC8733 ,588017627236073588,3.6156603812798944,0.7576891416598611,3.6156658772982344,0.7576904297632298,0.9999999999912005
NGC7743 ,587730772813152365,6.214909423104969,0.1733824041565183,6.207061109201372,0.23661561961916616,0.9979719554454832
